,Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
1,USA,6/18/2018,2018.0,Unprovoked,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,,06
3,AUSTRALIA,6/8/2018,2018.0,Unprovoked,New South Wales,Arrawarra Headland,Surfing,M,0,Minor injury to lower leg,N,,2 m shark,06
5,AUSTRALIA,6/3/2018,2018.0,Unprovoked,New South Wales,"Flat Rock, Ballina",Kite surfing,M,0,"No injury, board bitten",N,,,06
6,BRAZIL,6/3/2018,2018.0,Unprovoked,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark,06
7,USA,5/27/2018,2018.0,Unprovoked,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",05
8,USA,5/26/2018,2018.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'",05
9,USA,5/26/2018,2018.0,Unprovoked,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14h00,,05
11,USA,5/21/2018,2018.0,Unprovoked,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,M,10,Injuries to lower right leg and foot,N,,,05
12,USA,5/13/2018,2018.0,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,,05
15,SOUTH AFRICA,5/12/2018,2018.0,Unprovoked,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,0,"Minor injury, marks on board",N,11h00,,05
17,THAILAND,Reported 30-Apr-2018,2018.0,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,0,Minor injury to ankle,N,,,04
18,COSTA RICA,4/28/2018,2018.0,Unprovoked,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,04
19,AUSTRALIA,4/28/2018,2018.0,Unprovoked,Western Australia,Gearys Beach,Surfing,M,0,"No injury, knocked off board by shark",N,16h50,,04
21,AUSTRALIA,4/25/2018,2018.0,Unprovoked,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,04
22,AUSTRALIA,4/24/2018,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,0,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",04
23,MALDIVES,4/23/2018,2018.0,Unprovoked,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,04
24,SOUTH AFRICA,4/22/2018,2018.0,Unprovoked,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",04
25,USA,4/19/2018,2018.0,Unprovoked,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,04
26,THAILAND,4/15/2018,2018.0,Unprovoked,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,04
27,BRAZIL,4/15/2018,2018.0,Unprovoked,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",N,,,04
28,AUSTRALIA,4/15/2018,2018.0,Unprovoked,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,,04
29,AUSTRALIA,4/15/2018,2018.0,Unprovoked,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,,04
30,BAHAMAS,4/14/2018,2018.0,Unprovoked,New Providence,Nirvana Beach,Surfing,M,0,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,04
32,NEW CALEDONIA,4/9/2018,2018.0,Unprovoked,other,"Magenta Beach, Noumea",Windsurfing,UNKNOWN,0,"No injury, shark bit board",N,17h00,2 m shark,04
33,BAHAMAS,4/5/2018,2018.0,Unprovoked,other,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,04
34,SOUTH AFRICA,4/3/2018,2018.0,Unprovoked,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,04
35,USA,3/31/2018,2018.0,Unprovoked,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",03
36,AUSTRALIA,3/14/2018,2018.0,Unprovoked,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,03
37,AUSTRALIA,3/9/2018,2018.0,Unprovoked,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,03
38,AUSTRALIA,3/9/2018,2018.0,Unprovoked,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,03
39,SOUTH AFRICA,2/24/2018,2018.0,Unprovoked,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,02
40,AUSTRALIA,2/23/2018,2018.0,Unprovoked,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",02
42,AUSTRALIA,2/15/2018,2018.0,Unprovoked,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",02
45,ECUADOR,2/3/2018,2018.0,Unprovoked,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,02
47,AUSTRALIA,1/28/2018,2018.0,Unprovoked,Western Australia,Cone Bay,other,M,18,Injuries to right leg,N,08h00,Bull shark,01
48,NEW CALEDONIA,1/21/2018,2018.0,Unprovoked,other,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",01
49,AUSTRALIA,1/14/2018,2018.0,Unprovoked,Queensland,Lizard Island,Diving,M,0,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,01
50,AUSTRALIA,1/13/2018,2018.0,Unprovoked,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",01
51,BRAZIL,1/12/2018,2018.0,Unprovoked,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,01
52,AUSTRALIA,1/5/2018,2018.0,Unprovoked,Western Australia,"South Point, Gracetown",Surfing,M,0,Foot bitten,N,,Wobbegong shark?,01
53,USA,12/31/2017,2017.0,Unprovoked,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,12
54,USA,12/30/2017,2017.0,Unprovoked,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,,12
56,BAHAMAS,12/9/2017,2017.0,Unprovoked,other,other,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',12
57,COSTA RICA,11/30/2017,2017.0,Unprovoked,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",11
58,COSTA RICA,11/30/2017,2017.0,Unprovoked,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",11
60,USA,11/24/2017,2017.0,Unprovoked,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",11
61,USA,11/18/2017,2017.0,Unprovoked,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,,11
62,other,Reported 13-Nov-2017,2017.0,Unprovoked,other,other,Surfing,M,24,Puncture wounds to feet,N,,,11
63,AUSTRALIA,11/13/2017,2017.0,Unprovoked,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,11
64,CUBA,11/4/2017,2017.0,Unprovoked,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,11
65,AUSTRALIA,Reported 31-Oct-2017,2017.0,Unprovoked,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,10
66,AUSTRALIA,10/28/2017,2017.0,Unprovoked,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",10
67,USA,10/26/2017,2017.0,Unprovoked,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,0,No injury but shark bit SUP,N,15h00,,10
68,MAURITIUS,10/23/2017,2017.0,Unprovoked,Pamplemousses ,Le Goulet,Swimming,M,0,Minor injury to foot,N,Afternoon,,10
69,USA,10/23/2017,2017.0,Unprovoked,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,17h00,,10
70,USA,10/23/2017,2017.0,Unprovoked,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,10
71,AUSTRALIA,10/22/2017,2017.0,Unprovoked,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",10
72,NEW ZEALAND,10/21/2017,2017.0,Unprovoked,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,0,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,10
73,USA,10/18/2017,2017.0,Unprovoked,Florida,"Lantana Beach, Palm Beach County",Swimming,M,0,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",10
74,USA,10/9/2017,2017.0,Unprovoked,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",10
75,USA,10/5/2017,2017.0,Unprovoked,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' shark,10
77,USA,9/25/2017,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,0,Lacerations to lower left leg and foot,N,Morning,5' shark,09
78,AUSTRALIA,9/25/2017,2017.0,Unprovoked,Western Australia,Gracetown,Surfing,M,0,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",09
80,USA,9/24/2017,2017.0,Unprovoked,Florida,Fort Worth,Surfing,M,0,Laceration to upper arm,N,14h00,4' to 5' shark,09
81,USA,9/20/2017,2017.0,Unprovoked,Florida,Palm Beach County,Surfing,M,0,Minor lacerations to sole of left foot,N,Morning,,09
82,SPAIN,9/16/2017,2017.0,Unprovoked,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",09
83,USA,9/16/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,,09
87,USA,9/13/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,09
88,AUSTRALIA,9/10/2017,2017.0,Unprovoked,Westerm Australia,Sam's Creek area,Swimming,M,0,Minor injuries,N,15h00,,09
89,AUSTRALIA,9/10/2017,2017.0,Unprovoked,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",09
90,SOLOMON ISLANDS,Reported 06-Sep-2017,2017.0,Unprovoked,other,Owarigi Island,Spearfishing,M,0,Foot bitten,N,,,09
91,SOUTH AFRICA,9/3/2017,2017.0,Unprovoked,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,0,FATAL,Y,Morning,,09
92,JAPAN,9/3/2017,2017.0,Unprovoked,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,,09
93,USA,9/2/2017,2017.0,Unprovoked,Florida,"Marathon, Monroe County",Swimming,M,0,Lacerations to abdomen,N,,Nurse shark,09
94,USA,9/2/2017,2017.0,Unprovoked,Texas,"South Padre Island, Cameron County",Swimming,F,0,Lacerations to foot,N,,,09
95,USA,9/2/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,,09
96,AUSTRALIA,8/29/2017,2017.0,Unprovoked,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",08
97,USA,8/27/2017,2017.0,Unprovoked,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13h19,,08
99,NEW ZEALAND,8/26/2017,2017.0,Unprovoked,North Island,Off Tutukaka,Canoeing,M,0,"No injury, shark bit canoe",N,,,08
100,USA,8/23/2017,2017.0,Unprovoked,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",08
101,BAHAMAS,8/18/2017,2017.0,Unprovoked,other,other,Spearfishing,M,0,Hand injured,N,15h00,5' shark,08
102,USA,8/10/2017,2017.0,Unprovoked,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,08
103,EGYPT,8/5/2017,2017.0,Unprovoked,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",08
106,USA,7/31/2017,2017.0,Unprovoked,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18h30,,07
108,USA,7/29/2017,2017.0,Unprovoked,South Carolina,"DeBordieu Colony, Georgetown County",other,F,12,Bite to left thigh / minor injury,N,Afternoon,,07
109,BAHAMAS,7/27/2017,2017.0,Unprovoked,New Providence District,Rose Island,Snorkeling,F,0,Foot & ankle injured,N,,,07
110,BAHAMAS,Reported 26-Jul-2017,2017.0,Unprovoked,40 miles off Grand Bahama Island,other,Spearfishing,M,0,Severe lacerations to left hand,N,,,07
111,"ST HELENA, British overseas territory",7/24/2017,2017.0,Unprovoked,Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,,07
112,USA,7/23/2017,2017.0,Unprovoked,New Jersey,Ventnor,other,F,0,Minor injury to hand,N,,Sandtiger shark  2',07
113,SPAIN,7/23/2017,2017.0,Unprovoked,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,0,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',07
114,USA,7/22/2017,2017.0,Unprovoked,Florida,"Snipes Point, Monroe County",other,F,40,Foot bitten,N,12h30,"""A small shark""",07
117,USA,7/20/2017,2017.0,Unprovoked,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",07
118,USA,7/14/2017,2017.0,Unprovoked,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,0,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",07
119,AUSTRALIA,7/14/2017,2017.0,Unprovoked,Western Australia,Floreat Beach,Surfing,M,0,"Minor injury, grazed by shark",N,11h45,,07
121,USA,7/9/2017,2017.0,Unprovoked,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",07
123,SOUTH AFRICA,7/7/2017,2017.0,Unprovoked,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",07
126,USA,6/21/2017,2017.0,Unprovoked,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,,06
127,USA,6/19/2017,2017.0,Unprovoked,Florida,"Singer Island, Palm Beach County",Surfing,M,0,1 to 2-inch laceration behind knee,N,Morning,,06
128,USA,6/18/2017,2017.0,Unprovoked,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",06
129,REUNION,6/18/2017,2017.0,Unprovoked,other,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",06
130,SPAIN,6/17/2017,2017.0,Unprovoked,Ibiza Island,Playa d’en Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,,06
131,FRENCH POLYNESIA,2017.06.05,2017.0,Unprovoked,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,0,Injuries to hand and wrist,N,,,06
132,BAHAMAS,Reported 14-Jun-2017,2017.0,Unprovoked,other,other,Feeding sharks,F,0,Fingernail pulled off ,N,,,06
133,AUSTRALIA,6/11/2017,2017.0,Unprovoked,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",06
134,AUSTRALIA,6/10/2017,2017.0,Unprovoked,Victoria,"Flinders, Mornington Penisula",Surfing,F,0,"No injury, knocked off board",N,15h45,Seven-gill shark,06
135,USA,6/10/2017,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10h00,,06
136,UNITED KINGDOM,Reported 07-Jun-2017,2017.0,Unprovoked,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",06
137,USA,6/4/2017,2017.0,Unprovoked,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,0,Laceration to shin,N,,8' shark,06
138,BAHAMAS,6/2/2017,2017.0,Unprovoked,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,06
140,USA,5/28/2017,2017.0,Unprovoked,Florida,Off Jupiter,Feeding sharks,M,0,Lacerations to right arm,N,Morning,Tiger shark,05
142,UNITED ARAB EMIRATES,5/12/2017,2017.0,Unprovoked,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,Morning,,05
144,MEXICO,5/5/2017,2017.0,Unprovoked,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17h00,,06
146,USA,4/29/2017,2017.0,Unprovoked,California,"San Onofre, San Diego County ",Swimming,F,0,Major injury to posterior thigh,N,17h34,,04
147,SOUTH AFRICA,4/29/2017,2017.0,Unprovoked,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17h10,,04
148,USA,4/29/2017,2017.0,Unprovoked,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11h00,,04
149,REUNION,4/29/2017,2017.0,Unprovoked,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,11h15,,04
150,NEW ZEALAND,4/27/2017,2017.0,Unprovoked,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,N,14h00,,04
152,"ST HELENA, British overseas territory",4/22/2017,2017.0,Unprovoked,Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16h00,,04
154,USA,4/17/2017,2017.0,Unprovoked,Florida,"Daytona Beach, Volusia County",other,UNKNOWN,0,Minor bite to the foot,N,Afternoon,,04
155,AUSTRALIA,4/17/2017,2017.0,Unprovoked,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16h00,White shark,04
156,USA,4/14/2017,2017.0,Unprovoked,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'",04
157,USA,4/13/2017,2017.0,Unprovoked,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13h30,,04
158,USA,4/12/2017,2017.0,Unprovoked,Florida,St. Augustine,Surfing,F,0,Lacerations to right foot,N,13h45,,04
160,USA,4/11/2017,2017.0,Unprovoked,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16h00,,04
161,USA,4/10/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,Laceration to calf,N,17h45,,04
162,USA,4/10/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17h00,,04
163,USA,4/6/2017,2017.0,Unprovoked,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,,,04
164,USA,4/5/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,04
165,AUSTRALIA,4/2/2017,2017.0,Unprovoked,Queensland,Moreton Bay,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,04
166,USA,4/2/2017,2017.0,Unprovoked,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",04
167,USA,3/27/2017,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10h00,,03
168,AUSTRALIA,3/19/2017,2017.0,Unprovoked,New South Wales,The Farm,Body boarding,M,30,Minor,N,18h30,,03
170,PHILIPPINES,3/11/2017,2017.0,Unprovoked,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,Right thigh injured ,N,,10' shark,03
171,BAHAMAS,Reported 09-Mar-2017,2017.0,Unprovoked,Great Exuma,other,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,03
172,AUSTRALIA,2/25/2017,2017.0,Unprovoked,Western Australia,Mauds Point,Snorkeling,F,0,Hand bitten,N,Morning,"Bull shark, 1.5",02
173,AUSTRALIA,2/24/2017,2017.0,Unprovoked,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,0,"No injury, shark struck board",N,Morning,,02
174,REUNION,2/21/2017,2017.0,Unprovoked,Saint-Andre,other,Body boarding,M,26,Fatal,Y,09h30,,02
175,AUSTRALIA,2/17/2017,2017.0,Unprovoked,Queensland,Eva Rock,Spearfishing,M,26,Left leg severely bitten,N,10h20,,02
176,USA,2/11/2017,2017.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13h30,,02
180,BAHAMAS,2/1/2017,2017.0,Unprovoked,Bimini,other,Scuba Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,02
181,BRAZIL,1/24/2017,2017.0,Unprovoked,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,13h20,,01
182,USA,1/22/2017,2017.0,Unprovoked,Florida,"Vero Beach, Indian River County",other,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,01
183,AUSTRALIA,1/21/2017,2017.0,Unprovoked,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m",01
184,AUSTRALIA,1/13/2017,2017.0,Unprovoked,Queensland,Clairview,Swimming,M,57,Injury to hand,N,13h30,,01
185,USA,1/13/2017,2017.0,Unprovoked,Florida,Jensen Beach,other,M,0,Minor injury to hand,N,Morning,,01
186,INDONESIA,1/9/2017,2017.0,Unprovoked,Bali,Balian Beach,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m",01
188,USA,1/5/2017,2017.0,Unprovoked,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,Minor injuries to foot,N,12h30,,01
190,USA,12/27/2016,2016.0,Unprovoked,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,Lacerations to right forearm,N,17h00,,12
191,AUSTRALIA,12/24/2016,2016.0,Unprovoked,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,0,Buttock bitten,N,Morning,a small shark,12
192,SOUTH AFRICA,12/19/2016,2016.0,Unprovoked,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m",12
193,AUSTRALIA,12/14/2016,2016.0,Unprovoked,Western Australia,Trigg Beach,Free diving,M,61,Punctures to left foot/ankle,N,09h30,,12
194,FRENCH POLYNESIA,12/11/2016,2016.0,Unprovoked,Tuamotos,Takapoto Atoll,Fishing,M,40s,Hand injured?,N,,,12
197,AUSTRALIA,12/1/2016,2016.0,Unprovoked,New South Wales,Booti Booti National Park,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark,12
199,USA,11/14/2016,2016.0,Unprovoked,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark,11
200,USA,10/30/2016,2016.0,Unprovoked,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,Lacerations to right foot and ankle,N,Afternoon,,10
201,USA,10/29/2016,2016.0,Unprovoked,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Afternoon,,10
202,AUSTRALIA,10/24/2016,2016.0,Unprovoked,New South Wales,Broken Head Beach,Surfing,M,36,Lacerations to left thigh,N,07h30,,10
203,USA,10/21/2016,2016.0,Unprovoked,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark,10
204,AUSTRALIA,10/15/2016,2016.0,Unprovoked,Queensland,"Kings Beach, Caloundra",Surfing,M,0,Torso nipped,N,18h00,,10
205,USA,10/14/2016,2016.0,Unprovoked,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,Injuries to left calf,N,09h50,,10
207,AUSTRALIA,10/12/2016,2016.0,Unprovoked,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,10h30,,10
208,USA,10/10/2016,2016.0,Unprovoked,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,Wounds to upper thigh and lower leg,N,16h00,,10
209,USA,10/2/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Cuts to dorsal surface of left foot,N,11h30,,10
210,USA,10/1/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,Minor injuries,N,17h30,,10
211,AUSTRALIA,9/26/2016,2016.0,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m",09
212,USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,Minor injury to thigh,N,13h00,,09
213,USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,Lacerations to hands,N,11h00,,09
214,USA,9/18/2016,2016.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,Lacerations to lower leg,N,10h43,,09
215,USA,9/17/2016,2016.0,Unprovoked,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,"No injury, board bitten",N,After noon,,09
216,AUSTRALIA,9/17/2016,2016.0,Unprovoked,Victoria,Thirteenth Beach,Surfing,M,0,Struck by fin on chest & leg,N,,,09
217,AUSTRALIA,9/16/2016,2016.0,Unprovoked,Victoria,Bells Beach,Surfing,M,0,No injury: Knocked off board by shark,N,,2 m shark,09
219,USA,9/11/2016,2016.0,Unprovoked,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark,09
220,USA,9/7/2016,2016.0,Unprovoked,Hawaii,"Makaha, Oahu",Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'",09
221,NEW CALEDONIA,9/6/2016,2016.0,Unprovoked,North Province,Koumac,Kite surfing,M,50,FATAL,Y,15h40,,09
