country,year,area,activity,sex,age,fatal_y_n,month,hemisph,Season
USA,2016.0,Florida,Swimming,M,48,N,5,North,spring
USA,2016.0,Hawaii,Floating,M,59,N,5,North,spring
USA,2016.0,Florida,Surfing,M,15,N,4,North,spring
USA,2016.0,Florida,Spearfishing,M,26,N,4,North,spring
USA,2016.0,Florida,Fishing,M,34,N,4,North,spring
USA,2016.0,Hawaii,Snorkeling,F,46,N,3,North,spring
USA,2016.0,Florida,other,M,Teen,N,3,North,spring
USA,2016.0,Florida,Body surfing,M,19,N,3,North,spring
Fiji,2016.0,Vanua Levu,Diving for beche-de-mer,M,45,Y,3,South,fall
USA,2016.0,Florida,other,M,12,N,3,North,spring
USA,2016.0,Hawaii,Surfing,M,0,N,1,North,winter
USA,2016.0,Hawaii,Surfing,F,15,N,1,North,winter
USA,2016.0,Texas,Spearfishing,M,0,N,1,North,winter
USA,2016.0,Hawaii,Paddle boarding,M,48,N,1,North,winter
USA,2015.0,Hawaii,Paddle boarding,M,71,N,12,North,winter
USA,2015.0,Florida,Surfing,M,0,N,11,North,winter
USA,2015.0,Florida,Swimming,F,0,N,11,North,winter
USA,2015.0,Florida,Surfing,M,28,N,11,North,winter
USA,2015.0,Hawaii,Swimming,M,54,N,11,North,winter
USA,2015.0,Florida,Wading,F,28,N,11,North,winter
USA,2015.0,Hawaii,Body boarding,M,10,N,10,North,fall
USA,2015.0,Florida,Surfing,M,21,N,10,North,fall
USA,2015.0,Florida,Surfing,M,21,N,10,North,fall
USA,2015.0,Hawaii,Swimming,M,44,N,10,North,fall
USA,2015.0,South Carolina,Boogie boarding,F,9,N,10,North,fall
USA,2015.0,Hawaii,Surfing,M,25,N,10,North,fall
USA,2015.0,Florida,Body boarding,M,22,N,10,North,fall
USA,2015.0,Texas,Wading,M,13,N,10,North,fall
USA,2015.0,Florida,Surfing,M,14,N,10,North,fall
USA,2015.0,Florida,Surfing,M,22,N,9,North,fall
USA,2015.0,Florida,Surfing,M,14,N,9,North,fall
USA,2015.0,Hawaii,Spearfishing,M,27,N,9,North,fall
USA,2015.0,Florida,Wading,M,12,N,9,North,fall
USA,2015.0,Florida,Photographing fish,M,16,N,9,North,fall
USA,2015.0,Florida,Swimming,M,0,N,9,North,fall
USA,2015.0,Florida,Surfing,M,20,N,9,North,fall
USA,2015.0,California,Stand-Up Paddleboarding,F,50,N,9,North,fall
USA,2015.0,South Carolina,other,M,0,N,9,North,fall
USA,2015.0,California,Surfing,F,54,N,8,North,summer
USA,2015.0,California,Surfing,M,21,N,8,North,summer
USA,2015.0,South Carolina,Surfing,M,15,N,8,North,summer
USA,2015.0,Florida,Walking,F,10,N,8,North,summer
USA,2015.0,Florida,Surfing,M,25,N,7,North,summer
USA,2015.0,California,Surfing,M,38,N,7,North,summer
USA,2015.0,North Carolina,other,M,32,N,7,North,summer
USA,2015.0,North Carolina,Swimming,M,68,N,7,North,summer
USA,2015.0,South Carolina,Playing in the water,M,12,N,6,North,summer
USA,2015.0,North Carolina,Swimming,M,18,N,6,North,summer
USA,2015.0,South Carolina,Standing,M,43,N,6,North,summer
USA,2015.0,North Carolina,Body surfing?,M,47,N,6,North,summer
USA,2015.0,North Carolina,Swimming,M,6,N,6,North,summer
USA,2015.0,South Carolina,Standing,M,9,N,6,North,summer
USA,2015.0,Florida,Swimming,M,10,N,6,North,summer
USA,2015.0,North Carolina,Wading,M,16,N,6,North,summer
USA,2015.0,North Carolina,Wading,F,12,N,6,North,summer
USA,2015.0,California,other,F,0,N,6,North,summer
USA,2015.0,North Carolina,Boogie boarding,F,13,N,6,North,summer
USA,2015.0,Florida,Playing,M,11,N,6,North,summer
USA,2015.0,Florida,Attempting to rescue a shark,F,17,N,6,North,summer
USA,2015.0,Florida,Standing,F,14,N,5,North,spring
USA,2015.0,Florida,Wading,F,19,N,5,North,spring
USA,2015.0,Florida,Swimming,F,13,N,5,North,spring
USA,2015.0,Florida,Surfing,M,18,N,5,North,spring
USA,2015.0,South Carolina,other,M,30,N,5,North,spring
USA,2015.0,Florida,Swimming,M,0,N,5,North,spring
USA,2015.0,Hawaii,Snorkeling,F,65,Y,4,North,spring
USA,2015.0,Florida,Wading,M,63,N,4,North,spring
