Country,Year,Area,Activity,Sex,Age,Fatal_Y_N,month,hemisph,Season
USA,2017,South Carolina,Swimming,F,16,N,6,North,summer
USA,2017,Florida,Surfing,M,0,N,6,North,summer
USA,2017,South Carolina,Swimming,F,14,N,6,North,summer
REUNION,2017,other,Body boarding,M,34,N,6,South,winter
SPAIN,2017,Ibiza Island,Swimming,M,82,N,6,North,summer
FRENCH POLYNESIA,2017,Marquesas,Surfing,M,0,N,6,South,winter
BAHAMAS,2017,other,Feeding sharks,F,0,N,6,North,summer
AUSTRALIA,2017,Western Australia,Body boarding,M,48,N,6,South,winter
AUSTRALIA,2017,Victoria,Surfing,F,0,N,6,South,winter
USA,2017,Florida,Surfing,M,19,N,6,North,summer
UNITED KINGDOM,2017,South Devon,Surfing ,M,30,N,6,North,summer
USA,2017,Florida,Spearfishing,M,0,N,6,North,summer
BAHAMAS,2017,New Providence ,Snorkeling,F,32,N,6,North,summer
USA,2017,Florida,Feeding sharks,M,0,N,5,North,spring
MEXICO,2017,Baja California Sur,Snorkeling,M,33,Y,6,North,summer
USA,2017,California,Swimming,F,0,N,4,North,spring
SOUTH AFRICA,2017,Western Cape Province,Surfing,M,14,N,4,South,fall
USA,2017,South Carolina,Surfing,F,33,N,4,North,spring
REUNION,2017,Saint-Leu,Body boarding,M,28,Y,4,South,fall
NEW ZEALAND,2017,South Island,Body boarding,F,20s,N,4,South,fall
"ST HELENA, British overseas territory",2017,Ascension Island,Snorkeling,F,40,N,4,South,fall
USA,2017,Florida,other,UNKNOWN,0,N,4,North,spring
AUSTRALIA,2017,Western Australia,Surfing,F,17,Y,4,South,fall
USA,2017,Hawaii,Surfing,M,28,N,4,North,spring
USA,2017,Florida,Surfing,M,17,N,4,North,spring
USA,2017,Florida,Surfing,F,0,N,4,North,spring
USA,2017,Florida,Surfing,F,35,N,4,North,spring
USA,2017,Florida,Paddle boarding,F,10,N,4,North,spring
USA,2017,Florida,Swimming,F,21,N,4,North,spring
USA,2017,Florida,Swimming,M,16,N,4,North,spring
USA,2017,Florida,Swimming,F,51,N,4,North,spring
AUSTRALIA,2017,Queensland,Kakaying,M,39,N,4,South,fall
USA,2017,Florida,Swimming,F,17,N,4,North,spring
USA,2017,Florida,Surfing,M,58,N,3,North,spring
AUSTRALIA,2017,New South Wales,Body boarding,M,30,N,3,South,fall
BAHAMAS,2017,Great Exuma,Washing hands,M,58,N,3,North,spring
AUSTRALIA,2017,Western Australia,Snorkeling,F,0,N,2,South,summer
AUSTRALIA,2017,Western Australia,Surfing,M,0,N,2,South,summer
REUNION,2017,Saint-Andre,Body boarding,M,26,Y,2,South,summer
AUSTRALIA,2017,Queensland,Spearfishing,M,26,N,2,South,summer
USA,2017,Florida,Swimming,M,22,N,2,North,winter
BAHAMAS,2017,Bimini,Scuba Diving,M,37,N,2,North,winter
BRAZIL,2017,Pernambuco,Swimming,M,21,N,1,South,summer
USA,2017,Florida,other,M,Teen,N,1,North,winter
AUSTRALIA,2017,Queensland,Scuba Diving,M,55,N,1,South,summer
AUSTRALIA,2017,Queensland,Swimming,M,57,N,1,South,summer
USA,2017,Florida,other,M,0,N,1,North,winter
INDONESIA,2017,Bali,Surfing,M,48,N,1,South,summer
USA,2017,Florida,Wading,M,47,N,1,North,winter
USA,2016,Florida,Surfing,M,16,N,12,North,winter
AUSTRALIA,2016,Western Australia,Snorkeling,F,0,N,12,South,summer
SOUTH AFRICA,2016,Western Cape Province,Surf skiing ,M,55,N,12,South,summer
