,Country,Month
1764,USA,06
1765,BRAZIL,06
1766,USA,06
1767,USA,06
1768,USA,06
1769,USA,06
1770,USA,06
1772,USA,05
1773,USA,05
1774,USA,05
1776,USA,05
1777,PHILIPPINES,05
1779,BRAZIL,04
1780,BRAZIL,04
1781,BRAZIL,04
1782,USA,04
1783,USA,04
1784,USA,04
1785,USA,04
1786,USA,04
1787,USA,04
1788,USA,04
1789,USA,04
1790,VENEZUELA,04
1791,USA,04
1792,USA,04
1794,NEW ZEALAND,02
1795,AUSTRALIA,02
1796,USA,02
1797,AUSTRALIA,02
1798,AUSTRALIA,02
1800,COSTA RICA,01
1801,AUSTRALIA,01
1802,AUSTRALIA,12
1803,SOUTH AFRICA,12
1804,AUSTRALIA,12
1806,AUSTRALIA,12
1807,BRAZIL,12
1808,MICRONESIA,11
1809,USA,11
1810,USA,11
1811,TURKS & CAICOS,11
1812,USA,11
1813,USA,11
1814,FRENCH POLYNESIA,11
1815,USA,10
1816,BRAZIL,10
1817,USA,10
1818,USA,10
1819,USA,10
1820,USA,10
1821,USA,09
1822,USA,09
1823,USA,09
1826,USA,09
1827,USA,09
1828,BRAZIL,09
1829,USA,09
1830,SOUTH AFRICA,09
1831,USA,09
1833,USA,08
1834,USA,08
1835,USA,08
1836,USA,08
1837,USA,08
1839,USA,08
1840,USA,07
1841,USA,07
1844,BRAZIL,07
1845,USA,07
1846,AUSTRALIA,06
1847,USA,06
1849,PAPUA NEW GUINEA,06
1850,PAPUA NEW GUINEA,06
1851,USA,06
1852,USA,06
1853,USA,06
1854,USA,06
1855,SOUTH AFRICA,06
1856,USA,05
1857,USA,05
1859,USA,05
1860,COSTA RICA,05
1861,PAPUA NEW GUINEA,05
1862,USA,05
1863,BRAZIL,05
1865,AUSTRALIA,04
1867,USA,04
1868,USA,04
1869,AUSTRALIA,04
1870,BAHAMAS,04
1871,USA,04
1872,USA,04
1873,USA,03
1874,USA,03
1875,BRAZIL,03
1876,USA,03
1877,USA,03
1878,USA,03
1880,TURKS & CAICOS,02
1881,AUSTRALIA,02
1882,FIJI,02
1884,AUSTRALIA,01
1885,AUSTRALIA,01
1886,SOUTH AFRICA,01
1887,BRAZIL,01
1888,SOUTH AFRICA,01
1889,USA,01
1891,AUSTRALIA,11
1892,USA,11
1894,SOUTH AFRICA,10
1895,AUSTRALIA,10
1896,MEXICO,09
1899,USA,09
1901,USA,09
1902,USA,09
1905,USA,09
1907,USA,09
1908,USA,09
1909,USA,09
1910,USA,09
1911,BAHAMAS,08
1912,USA,08
1913,USA,08
1914,USA,08
1915,USA,08
1916,USA,08
1917,USA,08
1918,USA,08
1919,USA,08
1920,USA,08
1921,USA,08
1922,USA,08
1923,USA,08
1924,BAHAMAS,08
1925,THAILAND,08
1926,USA,08
1927,BAHAMAS,08
1929,USA,07
1930,USA,07
1931,USA,07
1933,USA,07
1934,USA,07
1935,MEXICO,07
1936,USA,07
1937,USA,07
1938,USA,07
1939,USA,06
1942,USA,06
1943,USA,05
1944,USA,05
1945,USA,05
1948,SOUTH AFRICA,05
1949,AUSTRALIA,05
1950,USA,05
1951,FIJI,05
1952,USA,04
1953,USA,04
1954,USA,04
1955,USA,04
1956,USA,04
1957,USA,04
1958,USA,04
1959,USA,04
1960,USA,04
1961,USA,04
1962,USA,04
1963,USA,04
1964,SOUTH AFRICA,04
1966,USA,04
1967,BRAZIL,04
1968,AUSTRALIA,04
1969,USA,03
1970,USA,03
1972,BRAZIL,03
1976,AUSTRALIA,02
1978,CUBA,01
1980,USA,01
1982,AUSTRALIA,12
1983,FIJI,12
1985,CANADA,12
1986,AUSTRALIA,12
1987,NEW ZEALAND,12
1988,AUSTRALIA,11
1990,USA,11
1992,AUSTRALIA,11
1993,AUSTRALIA,11
1994,USA,11
1996,USA,10
1997,USA,10
1998,USA,10
1999,USA,10
2000,USA,10
2001,USA,10
2002,USA,10
2003,USA,09
2004,AUSTRALIA,09
2005,AUSTRALIA,09
2007,OKINAWA,09
2008,USA,09
2009,USA,09
2010,USA,09
2011,USA,09
2012,USA,09
2013,SOUTH AFRICA,09
2014,TANZANIA,09
2015,USA,09
2016,REUNION,09
2017,TANZANIA,09
2018,USA,08
2019,USA,08
2021,USA,08
2022,USA,08
2023,USA,08
2024,USA,08
2027,TANZANIA,08
2028,USA,07
2029,USA,07
2030,USA,07
2031,USA,07
2032,SOUTH AFRICA,07
2033,SOUTH AFRICA,07
2034,SOUTH AFRICA,07
2035,TONGA,07
2036,USA,07
2037,USA,07
2038,USA,07
2039,USA,07
2040,USA,07
2041,USA,07
2042,USA,07
2043,USA,07
2044,TANZANIA,07
2045,PAPUA NEW GUINEA,06
2047,USA,06
2049,USA,06
2050,USA,06
2051,USA,06
2052,USA,06
2053,TANZANIA,06
2056,PAPUA NEW GUINEA,05
2057,PAPUA NEW GUINEA,05
2058,USA,04
2059,USA,04
2060,USA,03
2061,AUSTRALIA,03
2062,USA,03
2063,USA,03
2064,NEW CALEDONIA,03
2065,AUSTRALIA,03
2069,AUSTRALIA,03
2070,USA,03
2071,USA,02
2072,SOUTH AFRICA,02
2074,NEW ZEALAND,02
2075,AUSTRALIA,02
2077,THAILAND,01
