Country,Date,Year,Type,Area,Location,Activity,Sex ,Age,Injury,Fatal_Y_N,Time,Species ,Month
EGYPT,3/21/2015,2015.0,Unprovoked,other,Marsa Alam,Swimming,M,52,FATAL,Y,,Mako shark,03
USA,3/18/2015,2015.0,Unprovoked,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet",03
FRENCH POLYNESIA,3/16/2015,2015.0,Unprovoked,Bora Bora,Anau,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark,03
FRENCH POLYNESIA,3/7/2015,2015.0,Unprovoked,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18 months,Thigh bitten,N,,Blacktip Reef shark ,03
REUNION,2/14/2015,2015.0,Unprovoked,d’Étang-Salé,Ravine Mula,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m",02
AUSTRALIA,2/9/2015,2015.0,Unprovoked,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark,02
AUSTRALIA,2/8/2015,2015.0,Unprovoked,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark,02
AUSTRALIA,2/5/2015,2015.0,Unprovoked,New South Wales,Mereweather Beach,Bodysurfing,M,0,5 minor puncture wounds to lower left leg,N,,1.8 m shark,02
AUSTRALIA,1/24/2015,2015.0,Unprovoked,New South Wales,Flat Rock,Surfing,M,0,"No injury, surfboard dented",N,,,01
SOUTH AFRICA,1/23/2015,2015.0,Unprovoked,Eastern Cape Province,Nahoon Beach,Floating,M,24,Foot bitten,N,Afternoon,,01
AUSTRALIA,1/16/2015,2015.0,Unprovoked,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,,1.5 m shark,01
BAHAMAS,1/6/2015,2015.0,Unprovoked,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark,01
SOUTH AFRICA,1/3/2015,2015.0,Unprovoked,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m",01
USA,1/1/2015,2015.0,Unprovoked,Florida,"Windsor Beach, Indian River County",other,M,12,Leg bitten,N,Afternoon,"""A small shark""",01
AUSTRALIA,12/29/2014,2014.0,Unprovoked,New South Wales,Bherwerre Beach,Surfing,UNKNOWN,0,Lacerations to both feet,N,Morning,2 m shark,12
AUSTRALIA,12/29/2014,2014.0,Unprovoked,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m",12
USA,12/28/2014,2014.0,Unprovoked,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'",12
JAPAN,Reported 23-Dec-2014,2014.0,Unprovoked,other,other,Diving / Filming,M,0,"No injury, shark snagged its teeth in diver's suit",N,,Goblin shark,12
AUSTRALIA,12/15/2014,2014.0,Unprovoked,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y,11h30,Tiger shark,12
AUSTRALIA,11/29/2014,2014.0,Unprovoked,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,,11
USA,11/16/2014,2014.0,Unprovoked,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,13h00,2' shark,11
USA,11/13/2014,2014.0,Unprovoked,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark,11
AUSTRALIA,11/10/2014,2014.0,Unprovoked,New South Wales,Moonee Beach,Surfing,M,0,Minor injury to lower leg and foot,N,06h30,,11
USA,11/8/2014,2014.0,Unprovoked,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,16h30,,11
USA,10/31/2014,2014.0,Unprovoked,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'",10
USA,10/22/2014,2014.0,Unprovoked,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,0,"No injury, paddleboard bitten",N,10h00,Tiger shark,10
USA,10/20/2014,2014.0,Unprovoked,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,0,"No injury, paddleboard bitten",N,08h00,,10
USA,10/18/2014,2014.0,Unprovoked,Hawaii,"Maalaea, South Maui",Surfing,M,0,"No injury, surfboard bitten",N,11h15,12' to 14' shark,10
AUSTRALIA,10/17/2014,2014.0,Unprovoked,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,10
USA,10/14/2014,2014.0,Unprovoked,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,,"Bull shark, 3' to 4'",10
USA,10/12/2014,2014.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,0,Laceration to right hand/wrist,N,15h30,,10
USA,10/5/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,11h30,Blacktip shark,10
USA,10/7/2014,2014.0,Unprovoked,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,Afternoon,,10
USA,10/5/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,11h00,Blacktip shark,10
USA,10/2/2014,2014.0,Unprovoked,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark,10
AUSTRALIA,10/2/2014,2014.0,Unprovoked,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""",10
USA,9/21/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,0,Minor injury to left foot,N,11h30,,09
FRENCH POLYNESIA,Reported 12-Sep-2014,2014.0,Unprovoked,Moorea,Tiahura Lagoon,Feeding fish,F,36,Thumb & finger nipped,N,,Blacktip shark,09
AUSTRALIA,9/9/2014,2014.0,Unprovoked,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,10h45,7' shark,09
USA,9/6/2014,2014.0,Unprovoked,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,N,13h00,Bull shark,09
SPAIN,9/14/2022,2014.0,Unprovoked,Catalonia,Salou,Playing with an air mattress,M,16,Lacerations to right hand,N,,,09
USA,8/31/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark,08
USA,8/29/2014,2014.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark,08
SPAIN,8/27/2014,2014.0,Unprovoked,Alicante,Benidorm,Swimming,F,30s,Minor lacerations to posterior lower leg,N,,small shark,08
USA,8/27/2014,2014.0,Unprovoked,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,N,,4' to 6' shark,08
USA,8/27/2014,2014.0,Unprovoked,South Carolina,"Surfside Beach, Horry  County",Standing,F,0,Heel bitten,N,15h00,,08
USA,8/24/2014,2014.0,Unprovoked,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,UNKNOWN,0,Laceration to left foot,N,,4' shark,08
AUSTRALIA,8/16/2014,2014.0,Unprovoked,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,N,,reef shark,08
USA,8/12/2014,2014.0,Unprovoked,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,0,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'",08
USA,8/10/2014,2014.0,Unprovoked,Florida,"Hallandale Beach, Broward County",other,M,26,Puncture wounds & lacerations to foot,N,,,08
BAHAMAS,8/9/2014,2014.0,Unprovoked,other,other,Spearfishing,M,0,Puncture wounds to right foot and ankle,N,,"Bull shark, 9' to 10'",08
USA,8/9/2014,2014.0,Unprovoked,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,,08
USA,8/8/2014,2014.0,Unprovoked,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'",08
USA,8/6/2014,2014.0,Unprovoked,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,08
USA,8/5/2014,2014.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,N,,,08
USA,8/2/2014,2014.0,Unprovoked,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,N,,,08
USA,8/2/2014,2014.0,Unprovoked,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,N,13h00,,08
SOUTH AFRICA,8/1/2014,2014.0,Unprovoked,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark,08
USA,7/27/2014,2014.0,Unprovoked,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,N,,Possibly juvenile tiger shark,07
REUNION,7/22/2014,2014.0,Unprovoked,Saint-Leu,other,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark,07
USA,7/21/2014,2014.0,Unprovoked,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,N,Early afternoon,,07
SPAIN,7/20/2014,2014.0,Unprovoked,Canary Islands,"Teresita, Santa Cruz, Tenerife",Wading,UNKNOWN,0,Minor injury,N,,Angel shark,07
USA,7/16/2014,2014.0,Unprovoked,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark,07
USA,7/14/2014,2014.0,Unprovoked,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark,07
USA,7/12/2014,2014.0,Unprovoked,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,0,Lacerations to hand and wrist,N,,,07
USA,7/9/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,N,14h00,,07
USA,7/5/2014,2014.0,Unprovoked,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,0,"No injury, surboard bitten",N,07h00 - 08h00,,07
USA,7/3/2014,2014.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark,07
BAHAMAS,6/25/2014,2014.0,Unprovoked,Abaco Islands,other,Spearfishing,M,42,No injury but shark took his pole spear,N,13h00,"Caribbean reef shark, 7' to 8'",06
AUSTRALIA,6/18/2014,2014.0,Unprovoked,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,0,"No injury, surfboard 'attacked'",N,17h01,,06
AUSTRALIA,6/18/2014,2014.0,Unprovoked,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,N,17h00,,06
BRAZIL,6/9/2014,2014.0,Unprovoked,other,500 km off the coast of Pernambuco,Fishing,M,43,Severe injury to arm,N,,,06
USA,6/9/2014,2014.0,Unprovoked,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N,17h00," Sandbar shark, 3' to 4'",06
AUSTRALIA,6/9/2014,2014.0,Unprovoked,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m",06
JAPAN,6/8/2014,2014.0,Unprovoked,Atsumi peninsula,Aichi,Surfing,M,43,Left arm bitten,N,Afternoon,,06
USA,6/7/2014,2014.0,Unprovoked,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,Afternoon,,06
USA,6/1/2014,2014.0,Unprovoked,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark,06
AUSTRALIA,6/1/2014,2014.0,Unprovoked,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,0,Lacerations & puncture wounds to ankle and foot,N,Morning,,06
USA,6/1/2014,2014.0,Unprovoked,Palmyra Atoll,other,Tagging sharks,F,37,Laceration to left hand,N,,Blacktip Reef shark ,06
AUSTRALIA,5/24/2014,2014.0,Unprovoked,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,N,," Bull shark, 1.2m ",05
FRANCE,5/23/2014,2014.0,Unprovoked,Wallis and Futuna,Wallis Island,Scuba diving,M,0,Lacerations to left thigh and hip,N,Morning,3m shark,05
USA,5/15/2014,2014.0,Unprovoked,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,N,11h30,,05
AUSTRALIA,5/14/2014,2014.0,Unprovoked,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,"No injury, but surfboard severely damaged",N,09h30," white shark, 15' ",05
USA,5/13/2014,2014.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,N,11h00,,05
USA,5/11/2014,2014.0,Unprovoked,Georgia,"Tybee Island, Chatham County",Surfing,M,12,Puncture wounds to right thigh,N,,Shark involvement not confirmed,05
USA,5/6/2014,2014.0,Unprovoked,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,N,15h00,4' to 5' shark,05
SOUTH AFRICA,5/4/2014,2014.0,Unprovoked,Western Cape Province,Simonstown,Diving,UNKNOWN,0,4-inch laceration to arm,N,,Cow shark,05
USA,5/1/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,N,15h00,3' shark,05
AUSTRALIA,4/24/2014,2014.0,Unprovoked,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,0,Minor injury,N,,reef shark?,04
USA,4/22/2014,2014.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,Laceration & puncture wounds to right foot,N,15h30,,04
USA,4/15/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,N,09h57,,04
USA,4/4/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Minor puncture wounds to lower left leg,N,13h50,,04
USA,4/4/2014,2014.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Lacerations to foot,N,13h30,,04
AUSTRALIA,4/3/2014,2014.0,Unprovoked,New South Wales,Tathra,Swimming,F,63,FATAL,Y,08h20,3 m to 4 m white shark,04
SOUTH AFRICA,3/22/2014,2014.0,Unprovoked,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,FATAL,Y,15h00,2 m shark,03
USA,3/22/2014,2014.0,Unprovoked,Florida,Delray Beach,Kite Surfing,M,0,Lacerations to left forearm,N,,4' to 5' shark,03
USA,3/21/2014,2014.0,Unprovoked,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,N,,,03
NEW CALEDONIA,3/18/2014,2014.0,Unprovoked,Baie de Sainte-Marie,other,Kite Surfing,M,42,Lacerations to calf,N,17h58,,03
AUSTRALIA,3/18/2014,2014.0,Unprovoked,Victoria,Winkipop Beach,Surfing,M,42,Shark leapt onto surfboard; surfer uninjured ,N,Morning,,03
AUSTRALIA,3/12/2014,2014.0,Unprovoked,New South Wales,Lighthouse Beach,Swimming,M,0,Minor lacerations to foot,N,18h00,Wobbegong shark,03
USA,3/2/2014,2014.0,Unprovoked,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,Lacerations to toes,N,,Blacktip or spinner shark?,03
FRENCH POLYNESIA,2/20/2014,2014.0,Unprovoked,Society Islands,Huahine,Kitesurfing,M,21,Lacerations to lower leg,N,16h00,Blacktip reef shark ,02
AUSTRALIA,2/8/2014,2014.0,Unprovoked,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,FATAL,Y,12h00,,02
NEW ZEALAND,2/7/2014,2014.0,Unprovoked,South Island,Porpoise Bay,Surfing,M,28,Lacerations to leg,N,20h30,7-gill shark?,02
NEW ZEALAND,1/25/2014,2014.0,Unprovoked,South Island,Garden Bay near Cosy Nook,Spearfishing,M,24,Minor injury to left lower leg & heel,N,,7-gill shark,01
USA,7/6/1905,2014.0,Unprovoked,Hawaii,other,Free diving / Photographing pilot whales,M,0,"""Minor laceration to shoulder""",N,,Oceanic whitetip shark,00
NEW CALEDONIA,12/25/2013,2013.0,Unprovoked,North Province,"Lindéralique, Hienghène",Snorkeling,M,37,Leg bitten,N,11h00,Reported to involve a bull shark,12
SOUTH AFRICA,12/16/2013,2013.0,Unprovoked,Western Cape Province,Die Platt,Surfing,M,19,Injuries to left thigh,N,08h45,"White shark, 3m ",12
KIRIBATI,12/13/2013,2013.0,Unprovoked,740 miles SE of Tarawa Atoll,other,Attempting to remove fishing net from submerged object,M,35,Severe injury to arm,N,,,12
USA,12/11/2013,2013.0,Unprovoked,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,Lacerations to right hand & knee,N,08h00,"Tiger shark, 10' to 12'",12
USA,12/10/2013,2013.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,Right foot bitten,N,14h30,4' to 6' shark,12
AUSTRALIA,12/5/2013,2013.0,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,26,"Puncture wounds to hand, laceration to leg",N,18h15," Wobbegong shark, 1.6 to 1.8m ",12
USA,12/2/2013,2013.0,Unprovoked,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,FATAL,Y,09h00,,12
AUSTRALIA,11/30/2013,2013.0,Unprovoked,New South Wales,"Riecks Point,  Campbell’s Beach, ",Body boarding,M,19,FATAL,Y,14h00,"Tiger shark, 3m ",11
USA,11/29/2013,2013.0,Unprovoked,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,Right calf bitten,N,13h00,,11
AUSTRALIA,11/23/2013,2013.0,Unprovoked,Western Australia,Gracetown,Surfing,M,35,FATAL,Y,09h00,Thought to involve a white shark,11
USA,11/22/2013,2013.0,Unprovoked,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25,"No injury, board bitten",N,10h30,"White shark, 10 '",11
AUSTRALIA,11/12/2013,2013.0,Unprovoked,Western Australia,"Trigg Beach, Perth",Surfing,M,0,"No injury, board bumped by shark",N,15h00,Reported to involve a white shark,11
USA,11/7/2013,2013.0,Unprovoked,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,"No injury, swim fin bitten",N,Afternoon,,11
USA,11/7/2013,2013.0,Unprovoked,Florida,"Floridana Beach, Brevard County",Surfing,M,0,Foot bitten,N,,,11
USA,10/31/2013,2013.0,Unprovoked,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,46,Severe bite to right calf & anklel,N,15h19,Tiger shark,10
AUSTRALIA,10/28/2013,2013.0,Unprovoked,Western Australia,Turquoise Bay,Snorkeling,F,60,Lacerations to right arm,N,Afternoon,"Blacktip reef shark, 1m",10
REUNION,10/26/2013,2013.0,Unprovoked,d’Étang-Salé,Ravine Mula,Body boarding,M,24,Right leg severed,N,16h30,Thought to involve a bull shark,10
AUSTRALIA,10/26/2013,2013.0,Unprovoked,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,0,"No injury, swim fin shredded",N,10h55,Reported to involve a 4 m white shark,10
AUSTRALIA,10/24/2013,2013.0,Unprovoked,New South Wales,South Narrabeen Beach,Surfing,M,41,Injuries to right foot,N,18h15,Wobbegong shark,10
USA,10/23/2013,2013.0,Unprovoked,Hawaii,"Waiehu, Maui",Diving ,M,45,"3"" laceration to left hip",N,15h55,"Whitetip reef shark, 4' to 6'",10
USA,10/20/2013,2013.0,Unprovoked,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,"No injury, shark bit surfboard",N,11h00,Tiger shark,10
USA,10/19/2013,2013.0,Unprovoked,Florida,Miami Beach,Wading,M,6,Bitten on left calf & foot,N,Late afternoon,Nurse shark?,10
SOUTH AFRICA,10/11/2013,2013.0,Unprovoked,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",Swimming / snorkeling,M,74,FATAL,Y,11h30,White shark,10
AUSTRALIA,10/8/2013,2013.0,Unprovoked,Western Australia,"Off Poison Creek, Cape Arid",Diving for Abalone,M,55,"Injuries to torso, head and face",N,10h30,White shark,10
USA,10/6/2013,2013.0,Unprovoked,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,Laceration to thigh,N,08h45,"White shark, 8' to 10'",10
USA,10/10/2013,2013.0,Unprovoked,Florida,"Destin, Okaloosa County",Wading,M,12,Lacerations to  right forearm,N,15h30,Small bull shark,10
USA,9/29/2013,2013.0,Unprovoked,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,Lacerations to hand,N,10h00,,09
ISRAEL,9/29/2013,2013.0,Unprovoked,Southern District,Ashdod,Diving,M,27,Hand bitten ,N,11h30,,09
USA, 25-Sep-2013,2013.0,Unprovoked,Florida,"Panama City, Bay County",Standing,M,7,Laceration and puncture wounds to ankle,N,10h30,,09
USA, 21-Sep-2013,2013.0,Unprovoked,Florida,"Ormond Beach, Volusia County",Swimming,M,45,Lacerations to right foot,N,13h00,,09
USA, 21-Sep-2013,2013.0,Unprovoked,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,0,Lacerations to left foream,N,Morning,,09
USA, 14-Sep-2013,2013.0,Unprovoked,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,21,Lacerations to right foot,N,15h30,Bull shark,09
USA, 12-Sep-2013,2013.0,Unprovoked,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,Heel bitten,N,13h00,3' shark,09
USA,9/8/2013,2013.0,Unprovoked,South Carolina,"St. Helena Island, Beaufort County",other,F,0,No details,UNKNOWN,,,09
USA, 07-Sep-2013,2013.0,Unprovoked,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,"Minor injury, shin bitten",N,16h00,3' shark,09
USA, 02-Sep-2013,2013.0,Unprovoked,Florida,"Ormond Beach, Volusia County",Swimming,M,17,Shoulder bitten,N,13h00,,09
BAHAMAS, 01-Sep-2013,2013.0,Unprovoked,other,other,other,M,0,Leg injured,N,,,09
USA, 01-Sep-2013,2013.0,Unprovoked,Florida,"St Augustine Beach, St Johns County",Casting a net,M,9,Lacerations to left calf,N,12h00,4' shark,09
BAHAMAS,8/31/2013,2013.0,Unprovoked,other,Freetown Beach,Spearfishing,M,0,Lower left leg bitten,N,,Blacktip shark,08
USA,8/31/2013,2013.0,Unprovoked,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,0,Foot bitten,N,23h00,Salmon shark,08
USA, 25-Aug-2013,2013.0,Unprovoked,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,11,Minor injury to left lower leg & heel,N,17h00,,08
AUSTRALIA, 25-Aug-2013,2013.0,Unprovoked,New South Wales,Smiths,Wrangling a shark,M,0,Lacerations to left forearm,N,15h00,,08
USA, 18-Aug-2013,2013.0,Unprovoked,Hawaii,Pohoiki ,Surfing,M,16,Lacerations to buttocks & thigh,N,13h00,,08
USA,8/17/2013,2013.0,Unprovoked,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,0,"No injury, shark bumped surfboard",N,12h40,White shark,08
USA, 14-Aug-2013,2013.0,Unprovoked,Hawaii,"Makenat, Maui",Snorkeling,F,20,FATAL,Y,16h30,Tiger shark?,08
USA, 13-Aug-2013,2013.0,Unprovoked,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,19,No injury & not on board. Board adrift when bitten by shark,N,13h55,,08
USA,8/11/2013,2013.0,Unprovoked,South Carolina,Folly Beach,Surfing,M,10,"No injury, shark became entangled in his surfboard leash",N,17h30,"Bull shark, 8'",08
SOUTH AFRICA,Reported 08-Aug-2013,2013.0,Unprovoked,other,other,Attempting to free the shark,M,0,"Unknown, but survived",N,,Blacktip shark,08
USA, 05-Aug-2013,2013.0,Unprovoked,Florida,"Sanibel Island, Lee County",Fishing,M,17,Minor injury to foot & shin,N,15h00,"Bull shark, 6' to 8'",08
USA,  31-Jul-2013,2013.0,Unprovoked,Hawaii,"Ulua Beach, Maui",Snorkeling,F,56,"Lacerations to hand, face and torso",N,08h45,,07
USA,  30-Jul-2013,2013.0,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Swimming,M,32,Foot bitten,N,,,07
BAHAMAS,7/28/2013,2013.0,Unprovoked,Abaco Islands,Scotland Cay,Spearfishing,M,40,Leg bitten,N,16h05,6' shark,07
MEXICO,  29-Jul-2013,2013.0,Unprovoked,Quintana Roo,other,Wading,F,0,Hip bitten,N,11h00,,07
USA,  29-Jul-2013,2013.0,Unprovoked,Hawaii,"White Plains Beach, Oahu",Surfing,M,18,Lower leg bitten,N,14h10,"Tiger shark, 8' to 10' ",07
BAHAMAS,7/28/2013,2013.0,Unprovoked,Exuma Islands,Compass Cay,Cleaning fish,M,64,Bitten on left hand,N,16h45,Nurse shark,07
BAHAMAS,7/28/2013,2013.0,Unprovoked,Abaco Islands,Grand Cay,Diving,M,50,Bitten on rear lower extremities,N,11h15,,07
BRAZIL,    22-Jul-2013,2013.0,Unprovoked,Pernambuco,"Boa Viagem Beach, Recife",Swimming,F,18,FATAL,Y,13h20,,07
USA,7/19/2013,2013.0,Unprovoked,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,Lacerations and abrasions to foot and ankle,N,14h30,,07
USA,Reported 17-Jul-2013,2013.0,Unprovoked,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,teen,4 cuts to posterior calf,N,,,07
REUNION,7/15/2013,2013.0,Unprovoked,Saint-Paul,Le cimetière marin,Swimming & snorkeling,F,15,FATAL,Y,14h15,,07
DIEGO GARCIA,7/14/2013,2013.0,Unprovoked,other,other,Swimming,M,33,FATAL,Y,,,07
USA,7/11/2013,2013.0,Unprovoked,North Carolina,Holden Beach. Brunswick County,Wading,F,63,Right foot bitten,N,15h20,,07
AUSTRALIA,7/2/2013,2013.0,Unprovoked,Victoria,"Flinders, Mornington Penisula",Body surfing,M,29,"No injury, holes in wetsuit ",N,,,07
TAIWAN,6/30/2013,2013.0,Unprovoked,Taitung ,other,Fishing,M,0,Right thigh bitten,N,,,06
USA,6/25/2013,2013.0,Unprovoked,Florida,"Jacksonville, Duval County",Swimming,M,0,Lacerations to left foot,N,,"Possibly a Bull shark, 3'",06
USA,6/25/2013,2013.0,Unprovoked,South Carolina,"Kiawah Island, Charleston County",Swimming,M,14,"Bitten on lower right leg, reported as a minor injury",N,12h45,4' to 5' shark,06
USA,6/18/2013,2013.0,Unprovoked,Hawaii,Kona Coast State Park,Swimming,M,28,Right thigh & calf bitten,N,12h50,"Tiger shark, 14'",06
USA,6/17/2013,2013.0,Unprovoked,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,Left leg & hand bitten,N,14h45,,06
SOUTH AFRICA,6/16/2013,2013.0,Unprovoked,Eastern Cape Province,Queensberry Bay,Surfing,M,0,Lacerations to knee,N,Morning,,06
